artist_name,artist_id
卢广仲,3690
刘心,4080
卢焱,12523349
老狼,3682
李易峰,3765
黎明,3701
林奕匡,4084
六哲,4069
赖冠霖,31153220
刘允乐,3848
柳爽,1060132
灵超,13056454
罗大佑,3686
李玉刚,4130
刘可,3812
罗文,3698
李现,12602151
李行亮,4093
鹿晗,1038093
林彦俊,13058498
李雪莱 ,1040035
流浪的蛙蛙,1047239
林超泽,13059447
CADY,1047298
李子阳,1021328
Lil Boo,1043161
李森茂,1039839
吕方,3723
李权哲,13056453
林志颖,3704
梁晓雪,4006
李希侃,13057676
骆集益,4125
李琦,893267
冷漠,4015
陆定昊,13056456
刘嘉亮,3747
赖伟锋,4055
刘佳,4188
李绍继,3768
李朝,12675220
Lu1,4037
刘锦泽,791054
六月,12263292
刘欢,3688
廖效浓,1051026
李俊毅,13059444
刘辰希,4320
李志辉,4047
李炜,4089
陆虎,3793
李硕,12010120
李维,3752
罗艺恒,855488
林依轮,3799
李智,1039750
刘维,229341
励志豪,813095
刘胡轶,3871
梁雨,4464
梁朝伟,3715
Lamp Ho,12349677
刘宇,30891244
李艺皓,12066116
蓝乐,744274
郎朗,3707
林峯,3702
李秉成,12457105
吕思清,3762
李琛,3827
罗百吉,3732
老虎欧巴,905491
刘浩龙,3751
李明霖,936007
卢小旭,3952
马雨阳,826336
摩登兄弟刘宇宁,1094010
满舒克,188141
MC Hotdog,4479
麦振鸿,4569
麦浚龙,4483
马思唯,1132392
MuSik I,1049168
慕寒,12413
Mc光光,187903
闫东炜,4621
Mario,1038238
马天宇,4485
Max马俊,13415208
毛宁,4486
孟大宝,1050630
冰鑫,1043170
木子洋,13056459
森田,12114132
毛毛,4552
M80,792162
Mr.岑,1041122
莫西子诗,896927
馒头,4513
满文军,4488
慕斯の小乖,1049174
MyT1aN,1089210
Mr.16罗隽永,1060200
梅粮新,1039222
Merdan Ablikim,1063055
MJ-7,12389238
Mardan·omar（买尔旦·吾买尔）,1132719
马頔,4592
chill boy,571797
猫饭,189932
马条,4480
寐加岛,12136063
马融,1058114
MC七星,13485144
满江,4481
MC-5,1043199
Mc名决,12335229
孟可,1156176
马上又,4527
马伯骞,12914544
孟子坤,13497629
Mc阿哲,12084382
Mc轩颜,12263877
马潇,858161
门小强,12024162
马博,4651
莫染,4578
